Database Origin,Solvent SMILES,Solvent Key,Solvent Type,Solute SMILES,Solute Key,Solute Type,dG,BalabanJ_slv,BertzCT_slv,Chi0_slv,Chi0n_slv,Chi0v_slv,Chi1_slv,Chi1n_slv,Chi1v_slv,Chi2n_slv,Chi2v_slv,Chi3n_slv,Chi3v_slv,Chi4n_slv,Chi4v_slv,EState_VSA1_slv,EState_VSA10_slv,EState_VSA11_slv,EState_VSA2_slv,EState_VSA3_slv,EState_VSA4_slv,EState_VSA5_slv,EState_VSA6_slv,EState_VSA7_slv,EState_VSA8_slv,EState_VSA9_slv,HallKierAlpha_slv,HeavyAtomCount_slv,HeavyAtomMolWt_slv,Kappa1_slv,Kappa2_slv,Kappa3_slv,MaxAbsEStateIndex_slv,MaxAbsPartialCharge_slv,MaxEStateIndex_slv,MaxPartialCharge_slv,MinAbsEStateIndex_slv,MinAbsPartialCharge_slv,MinEStateIndex_slv,MinPartialCharge_slv,MolLogP_slv,MolMR_slv,MolWt_slv,NHOHCount_slv,NOCount_slv,NumAliphaticCarbocycles_slv,NumAliphaticHeterocycles_slv,NumAliphaticRings_slv,NumAromaticCarbocycles_slv,NumAromaticHeterocycles_slv,NumAromaticRings_slv,NumHAcceptors_slv,NumHDonors_slv,NumHeteroatoms_slv,NumRadicalElectrons_slv,NumRotatableBonds_slv,NumSaturatedCarbocycles_slv,NumSaturatedHeterocycles_slv,NumSaturatedRings_slv,NumValenceElectrons_slv,PEOE_VSA1_slv,PEOE_VSA10_slv,PEOE_VSA11_slv,PEOE_VSA12_slv,PEOE_VSA13_slv,PEOE_VSA14_slv,PEOE_VSA2_slv,PEOE_VSA3_slv,PEOE_VSA4_slv,PEOE_VSA5_slv,PEOE_VSA6_slv,PEOE_VSA7_slv,PEOE_VSA8_slv,PEOE_VSA9_slv,SMR_VSA1_slv,SMR_VSA10_slv,SMR_VSA2_slv,SMR_VSA3_slv,SMR_VSA4_slv,SMR_VSA5_slv,SMR_VSA6_slv,SMR_VSA7_slv,SMR_VSA8_slv,SMR_VSA9_slv,SlogP_VSA1_slv,SlogP_VSA10_slv,SlogP_VSA11_slv,SlogP_VSA12_slv,SlogP_VSA2_slv,SlogP_VSA3_slv,SlogP_VSA4_slv,SlogP_VSA5_slv,SlogP_VSA6_slv,SlogP_VSA7_slv,SlogP_VSA8_slv,SlogP_VSA9_slv,TPSA_slv,VSA_EState1_slv,VSA_EState10_slv,VSA_EState2_slv,VSA_EState3_slv,VSA_EState4_slv,VSA_EState5_slv,VSA_EState6_slv,VSA_EState7_slv,VSA_EState8_slv,VSA_EState9_slv,BalabanJ_slt,BertzCT_slt,Chi0_slt,Chi0n_slt,Chi0v_slt,Chi1_slt,Chi1n_slt,Chi1v_slt,Chi2n_slt,Chi2v_slt,Chi3n_slt,Chi3v_slt,Chi4n_slt,Chi4v_slt,EState_VSA1_slt,EState_VSA10_slt,EState_VSA11_slt,EState_VSA2_slt,EState_VSA3_slt,EState_VSA4_slt,EState_VSA5_slt,EState_VSA6_slt,EState_VSA7_slt,EState_VSA8_slt,EState_VSA9_slt,HallKierAlpha_slt,HeavyAtomCount_slt,HeavyAtomMolWt_slt,Kappa1_slt,Kappa2_slt,Kappa3_slt,MaxAbsEStateIndex_slt,MaxAbsPartialCharge_slt,MaxEStateIndex_slt,MaxPartialCharge_slt,MinAbsEStateIndex_slt,MinAbsPartialCharge_slt,MinEStateIndex_slt,MinPartialCharge_slt,MolLogP_slt,MolMR_slt,MolWt_slt,NHOHCount_slt,NOCount_slt,NumAliphaticCarbocycles_slt,NumAliphaticHeterocycles_slt,NumAliphaticRings_slt,NumAromaticCarbocycles_slt,NumAromaticHeterocycles_slt,NumAromaticRings_slt,NumHAcceptors_slt,NumHDonors_slt,NumHeteroatoms_slt,NumRadicalElectrons_slt,NumRotatableBonds_slt,NumSaturatedCarbocycles_slt,NumSaturatedHeterocycles_slt,NumSaturatedRings_slt,NumValenceElectrons_slt,PEOE_VSA1_slt,PEOE_VSA10_slt,PEOE_VSA11_slt,PEOE_VSA12_slt,PEOE_VSA13_slt,PEOE_VSA14_slt,PEOE_VSA2_slt,PEOE_VSA3_slt,PEOE_VSA4_slt,PEOE_VSA5_slt,PEOE_VSA6_slt,PEOE_VSA7_slt,PEOE_VSA8_slt,PEOE_VSA9_slt,SMR_VSA1_slt,SMR_VSA10_slt,SMR_VSA2_slt,SMR_VSA3_slt,SMR_VSA4_slt,SMR_VSA5_slt,SMR_VSA6_slt,SMR_VSA7_slt,SMR_VSA8_slt,SMR_VSA9_slt,SlogP_VSA1_slt,SlogP_VSA10_slt,SlogP_VSA11_slt,SlogP_VSA12_slt,SlogP_VSA2_slt,SlogP_VSA3_slt,SlogP_VSA4_slt,SlogP_VSA5_slt,SlogP_VSA6_slt,SlogP_VSA7_slt,SlogP_VSA8_slt,SlogP_VSA9_slt,TPSA_slt,VSA_EState1_slt,VSA_EState10_slt,VSA_EState2_slt,VSA_EState3_slt,VSA_EState4_slt,VSA_EState5_slt,VSA_EState6_slt,VSA_EState7_slt,VSA_EState8_slt,VSA_EState9_slt
Solv@TUM,C(=O)N,ZHNUHDYFZUAESO-UHFFFAOYSA-N,Organic acids and derivatives,CCCCCCCOC(=O)C,ZCZSIDMEHXZRLG-UHFFFAOYSA-N,Organic acids and derivatives,-4.84327122,2.187496097,12.26466251,2.707106781,1.562948829,1.562948829,1.414213562,0.569035594,0.569035594,0.136082763,0.136082763,0,0,0,0,0,0,0,6.410095306,0,0,0,0,0,5.733667477,4.794537184,-0.53,3,42.017,2.47,1.47,1.47,8.583333333,0.37226357,8.583333333,0.204030793,0.25,0.204030793,0.25,-0.37226357,-0.8985,10.2514,45.041,2,2,0,0,0,0,0,0,1,1,2,0,0,0,0,0,18,5.733667477,0,0,6.410095306,0,0,4.794537184,0,0,0,0,0,0,0,4.794537184,6.410095306,0,0,5.733667477,0,0,0,0,0,5.733667477,0,0,0,6.410095306,4.794537184,0,0,0,0,0,0,43.09,0,0,8.583333333,0,4.166666667,0,0,0.25,0,0,2.849761282,99.73585546,8.527097737,7.559137268,7.559137268,5.27005561,4.404030206,4.404030206,2.754256899,2.754256899,1.553216163,1.553216163,0.921512986,0.921512986,0,4.794537184,0,5.969305288,6.606881965,6.420821623,32.60702369,0,0,6.9237372,4.736862954,-0.53,11,140.097,10.47,7.575596621,9.47,10.31038919,0.465877687,10.31038919,0.302122868,0.166211551,0.302122868,-0.166211551,-0.465877687,2.5199,45.392,158.241,0,2,0,0,0,0,0,0,2,0,2,0,6,0,0,0,66,4.736862954,0,0,0,0,5.969305288,4.794537184,0,0,0,32.60702369,6.420821623,6.9237372,6.606881965,9.531400138,5.969305288,0,0,0,45.95158251,6.606881965,0,0,0,0,0,0,0,12.57618725,9.531400138,0,45.95158251,0,0,0,0,26.3,4.783142715,0,10.31038919,0,0,-0.166211551,0,6.006053241,4.233293073,0
Solv@TUM,C(=O)N,ZHNUHDYFZUAESO-UHFFFAOYSA-N,Organic acids and derivatives,c1ccc(cc1)Br,QARVLSVVCXYDNA-UHFFFAOYSA-N,Acetylides+Benzenoids & dipolar compounds,-4.12007826,2.187496097,12.26466251,2.707106781,1.562948829,1.562948829,1.414213562,0.569035594,0.569035594,0.136082763,0.136082763,0,0,0,0,0,0,0,6.410095306,0,0,0,0,0,5.733667477,4.794537184,-0.53,3,42.017,2.47,1.47,1.47,8.583333333,0.37226357,8.583333333,0.204030793,0.25,0.204030793,0.25,-0.37226357,-0.8985,10.2514,45.041,2,2,0,0,0,0,0,0,1,1,2,0,0,0,0,0,18,5.733667477,0,0,6.410095306,0,0,4.794537184,0,0,0,0,0,0,0,4.794537184,6.410095306,0,0,5.733667477,0,0,0,0,0,5.733667477,0,0,0,6.410095306,4.794537184,0,0,0,0,0,0,43.09,0,0,8.583333333,0,4.166666667,0,0,0.25,0,0,3.02146531,134.1073697,5.112884175,3.764715819,5.350712358,3.39384685,2.099665839,2.892664109,1.295568159,2.211243688,0.733110559,1.261776072,0.414667104,0.719892281,0,0,0,0,0,4.472719516,0,0,30.33183534,15.9299439,0,-0.3,7,151.97,4.849253731,2.123680216,1.316124136,3.31125,0.062189991,3.31125,0.017475283,1.134259259,0.017475283,1.134259259,-0.062189991,2.4491,34.142,157.01,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,34.1290451,12.13273414,4.472719516,0,0,15.9299439,0,0,0,0,0,34.80455486,0,0,0,0,0,15.9299439,0,0,0,0,34.80455486,0,0,0,0,1.134259259,3.31125,0,0,0,0,9.971157407,0,0,0
Solv@TUM,C(=O)N,ZHNUHDYFZUAESO-UHFFFAOYSA-N,Organic acids and derivatives,C(Cl)(Cl)(Cl)Cl,VZGDMQKNWNREIO-UHFFFAOYSA-N,Organohalogen compounds,-2.16911766,2.187496097,12.26466251,2.707106781,1.562948829,1.562948829,1.414213562,0.569035594,0.569035594,0.136082763,0.136082763,0,0,0,0,0,0,0,6.410095306,0,0,0,0,0,5.733667477,4.794537184,-0.53,3,42.017,2.47,1.47,1.47,8.583333333,0.37226357,8.583333333,0.204030793,0.25,0.204030793,0.25,-0.37226357,-0.8985,10.2514,45.041,2,2,0,0,0,0,0,0,1,1,2,0,0,0,0,0,18,5.733667477,0,0,6.410095306,0,0,4.794537184,0,0,0,0,0,0,0,4.794537184,6.410095306,0,0,5.733667477,0,0,0,0,0,5.733667477,0,0,0,6.410095306,4.794537184,0,0,0,0,0,0,43.09,0,0,8.583333333,0,4.166666667,0,0,0.25,0,0,3.023715784,19.11941548,4.5,2.011857892,5.035573676,2,0.755928946,2.267786838,0.428571429,3.857142857,0,0,0,0,3.251717758,0,0,0,0,0,0,0,0,0,46.40375956,1.16,5,153.823,6.16,1.741848257,38.29198573,4.826388889,0.265685211,4.826388889,0.265685211,1.611111111,0.066421303,-1.611111111,-0.066421303,2.5529,26.143,153.823,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,32,0,0,0,0,3.251717758,0,0,0,0,0,46.40375956,0,0,0,0,46.40375956,0,0,0,3.251717758,0,0,0,0,0,0,0,46.40375956,3.251717758,0,0,0,0,0,0,0,0,-1.611111111,19.30555556,0,0,0,0,0,0,0,0
Solv@TUM,C(=O)N,ZHNUHDYFZUAESO-UHFFFAOYSA-N,Organic acids and derivatives,c1ccc(c(c1)Cl)Cl,RFFLAFLAYFXFSW-UHFFFAOYSA-N,Acetylides+Benzenoids & dipolar compounds,-4.543017,2.187496097,12.26466251,2.707106781,1.562948829,1.562948829,1.414213562,0.569035594,0.569035594,0.136082763,0.136082763,0,0,0,0,0,0,0,6.410095306,0,0,0,0,0,5.733667477,4.794537184,-0.53,3,42.017,2.47,1.47,1.47,8.583333333,0.37226357,8.583333333,0.204030793,0.25,0.204030793,0.25,-0.37226357,-0.8985,10.2514,45.041,2,2,0,0,0,0,0,0,1,1,2,0,0,0,0,0,18,5.733667477,0,0,6.410095306,0,0,4.794537184,0,0,0,0,0,0,0,4.794537184,6.410095306,0,0,5.733667477,0,0,0,0,0,5.733667477,0,0,0,6.410095306,4.794537184,0,0,0,0,0,0,43.09,0,0,8.583333333,0,4.166666667,0,0,0.25,0,0,3.134861511,162.6383389,5.983127663,4.065330023,5.577187915,3.804530453,2.205314742,2.961243688,1.414108774,2.228509028,0.824372589,1.580281081,0.439294576,0.710761328,0,0,0,0,10.04526663,0,0,12.13273414,12.13273414,0,23.20187978,-0.2,8,142.972,5.928205128,2.3818409,1.145679012,5.576728395,0.082713195,5.576728395,0.059180344,0.605709877,0.059180344,0.605709877,-0.082713195,2.9934,36.462,147.004,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,35.33461392,12.13273414,0,10.04526663,0,23.20187978,0,0,0,0,0,34.3107349,0,0,0,0,0,23.20187978,0,0,0,0,24.26546827,10.04526663,0,0,0,0,11.15345679,0,1.211419753,0,0,7.190679012,0,0,0
Solv@TUM,C(=O)N,ZHNUHDYFZUAESO-UHFFFAOYSA-N,Organic acids and derivatives,CCCCCCCCCO,ZWRUINPWMLAQRD-UHFFFAOYSA-N,Lipids and lipid-like molecules,-7.21693995,2.187496097,12.26466251,2.707106781,1.562948829,1.562948829,1.414213562,0.569035594,0.569035594,0.136082763,0.136082763,0,0,0,0,0,0,0,6.410095306,0,0,0,0,0,5.733667477,4.794537184,-0.53,3,42.017,2.47,1.47,1.47,8.583333333,0.37226357,8.583333333,0.204030793,0.25,0.204030793,0.25,-0.37226357,-0.8985,10.2514,45.041,2,2,0,0,0,0,0,0,1,1,2,0,0,0,0,0,18,5.733667477,0,0,6.410095306,0,0,4.794537184,0,0,0,0,0,0,0,4.794537184,6.410095306,0,0,5.733667477,0,0,0,0,0,5.733667477,0,0,0,6.410095306,4.794537184,0,0,0,0,0,0,43.09,0,0,8.583333333,0,4.166666667,0,0,0.25,0,0,2.647604849,44.68995594,7.656854249,7.104067845,7.104067845,4.914213562,4.523334547,4.523334547,2.844927141,2.844927141,1.761667274,1.761667274,1.06891018,1.06891018,0,0,0,0,6.606881965,6.420821623,38.52492974,0,0,6.9237372,5.106527395,-0.04,10,124.098,9.96,8.96,7.96,8.46895479,0.396376569,8.46895479,0.043052407,0.36882716,0.043052407,0.36882716,-0.396376569,2.7293,45.0788,144.258,1,1,0,0,0,0,0,0,1,1,1,0,7,0,0,0,62,5.106527395,0,0,0,0,0,0,0,0,0,45.44866694,6.420821623,6.606881965,0,5.106527395,0,0,0,0,51.86948856,6.606881965,0,0,0,0,0,0,0,11.71340936,0,0,51.86948856,0,0,0,0,20.23,0,0,0,8.46895479,0,0,0,8.932334184,2.598711026,0
Solv@TUM,C(=O)N,ZHNUHDYFZUAESO-UHFFFAOYSA-N,Organic acids and derivatives,CCCCCCOC(=O)C,AOGQPLXWSUTHQB-UHFFFAOYSA-N,Organic acids and derivatives,-4.59767157,2.187496097,12.26466251,2.707106781,1.562948829,1.562948829,1.414213562,0.569035594,0.569035594,0.136082763,0.136082763,0,0,0,0,0,0,0,6.410095306,0,0,0,0,0,5.733667477,4.794537184,-0.53,3,42.017,2.47,1.47,1.47,8.583333333,0.37226357,8.583333333,0.204030793,0.25,0.204030793,0.25,-0.37226357,-0.8985,10.2514,45.041,2,2,0,0,0,0,0,0,1,1,2,0,0,0,0,0,18,5.733667477,0,0,6.410095306,0,0,4.794537184,0,0,0,0,0,0,0,4.794537184,6.410095306,0,0,5.733667477,0,0,0,0,0,5.733667477,0,0,0,6.410095306,4.794537184,0,0,0,0,0,0,43.09,0,0,8.583333333,0,4.166666667,0,0,0.25,0,0,2.838589122,89.25838097,7.819990956,6.852030487,6.852030487,4.77005561,3.904030206,3.904030206,2.400703508,2.400703508,1.303216163,1.303216163,0.744736291,0.744736291,0,4.794537184,0,5.969305288,6.606881965,6.420821623,26.18620207,0,0,6.9237372,4.736862954,-0.53,10,128.086,9.47,6.588063754,7.47,10.25421635,0.465877687,10.25421635,0.302122868,0.169908825,0.302122868,-0.169908825,-0.465877687,2.1298,40.775,144.214,0,2,0,0,0,0,0,0,2,0,2,0,5,0,0,0,60,4.736862954,0,0,0,0,5.969305288,4.794537184,0,0,0,26.18620207,6.420821623,6.9237372,6.606881965,9.531400138,5.969305288,0,0,0,39.53076089,6.606881965,0,0,0,0,0,0,0,12.57618725,9.531400138,0,39.53076089,0,0,0,0,26.3,4.749501134,0,10.25421635,0,0,-0.169908825,0,4.637436697,4.195421312,0
Solv@TUM,C(=O)N,ZHNUHDYFZUAESO-UHFFFAOYSA-N,Organic acids and derivatives,CCCCCCCCC=O,GYHFUZHODSMOHU-UHFFFAOYSA-N,Organic oxygen compounds,-4.36567791,2.187496097,12.26466251,2.707106781,1.562948829,1.562948829,1.414213562,0.569035594,0.569035594,0.136082763,0.136082763,0,0,0,0,0,0,0,6.410095306,0,0,0,0,0,5.733667477,4.794537184,-0.53,3,42.017,2.47,1.47,1.47,8.583333333,0.37226357,8.583333333,0.204030793,0.25,0.204030793,0.25,-0.37226357,-0.8985,10.2514,45.041,2,2,0,0,0,0,0,0,1,1,2,0,0,0,0,0,18,5.733667477,0,0,6.410095306,0,0,4.794537184,0,0,0,0,0,0,0,4.794537184,6.410095306,0,0,5.733667477,0,0,0,0,0,5.733667477,0,0,0,6.410095306,4.794537184,0,0,0,0,0,0,43.09,0,0,8.583333333,0,4.166666667,0,0,0.25,0,0,2.703789901,69.12851783,7.656854249,6.935346028,6.935346028,4.914213562,4.351057332,4.351057332,2.723108754,2.723108754,1.675528666,1.675528666,1.008000987,1.008000987,0,4.794537184,0,0,0,19.12780377,32.10410811,0,0,6.9237372,0,-0.33,10,124.098,9.67,8.67,7.67,9.893722521,0.303402908,9.893722521,0.119490199,0.756076389,0.119490199,0.756076389,-0.303402908,2.9359,44.057,142.242,0,1,0,0,0,0,0,0,1,0,1,0,7,0,0,0,60,4.794537184,6.286160523,0,0,0,0,0,0,0,0,39.02784531,6.420821623,6.420821623,0,4.794537184,6.286160523,0,0,0,51.86948856,0,0,0,0,0,0,0,0,6.286160523,4.794537184,0,51.86948856,0,0,0,0,17.07,0,0,9.893722521,0,0,0,0,9.392566453,2.213711026,0
Solv@TUM,C(=O)N,ZHNUHDYFZUAESO-UHFFFAOYSA-N,Organic acids and derivatives,CC(C)CCCCC(=O)C,OPSQVVYXYQMUEV-UHFFFAOYSA-N,Organic oxygen compounds,-5.08864026,2.187496097,12.26466251,2.707106781,1.562948829,1.562948829,1.414213562,0.569035594,0.569035594,0.136082763,0.136082763,0,0,0,0,0,0,0,6.410095306,0,0,0,0,0,5.733667477,4.794537184,-0.53,3,42.017,2.47,1.47,1.47,8.583333333,0.37226357,8.583333333,0.204030793,0.25,0.204030793,0.25,-0.37226357,-0.8985,10.2514,45.041,2,2,0,0,0,0,0,0,1,1,2,0,0,0,0,0,18,5.733667477,0,0,6.410095306,0,0,4.794537184,0,0,0,0,0,0,0,4.794537184,6.410095306,0,0,5.733667477,0,0,0,0,0,5.733667477,0,0,0,6.410095306,4.794537184,0,0,0,0,0,0,43.09,0,0,8.583333333,0,4.166666667,0,0,0.25,0,0,2.98069223,94.90138861,7.983127663,7.314025684,7.314025684,4.625897658,4.120626365,4.120626365,3.341643869,3.341643869,1.560313182,1.560313182,0.926531337,0.926531337,0,4.794537184,0,0,5.783244946,18.75954929,12.84164325,6.9237372,0,13.8474744,0,-0.33,10,124.098,9.67,5.454524254,7.67,10.48842404,0.300031023,10.48842404,0.129339952,0.322922336,0.129339952,0.322922336,-0.300031023,2.7918,43.987,142.242,0,1,0,0,0,0,0,0,1,0,1,0,5,0,0,0,60,4.794537184,5.783244946,0,0,0,0,0,0,0,0,26.68911765,19.26246487,6.420821623,0,4.794537184,5.783244946,0,0,5.917906046,46.45449809,0,0,0,0,0,0,0,0,5.783244946,4.794537184,5.917906046,46.45449809,0,0,0,0,17.07,0,0,10.48842404,0,0,1.107142857,0,4.310277778,6.094155329,0
Solv@TUM,C(=O)N,ZHNUHDYFZUAESO-UHFFFAOYSA-N,Organic acids and derivatives,CCCCCCCC(=O)C,VKCYHJWLYTUGCC-UHFFFAOYSA-N,Organic oxygen compounds,-5.42971245,2.187496097,12.26466251,2.707106781,1.562948829,1.562948829,1.414213562,0.569035594,0.569035594,0.136082763,0.136082763,0,0,0,0,0,0,0,6.410095306,0,0,0,0,0,5.733667477,4.794537184,-0.53,3,42.017,2.47,1.47,1.47,8.583333333,0.37226357,8.583333333,0.204030793,0.25,0.204030793,0.25,-0.37226357,-0.8985,10.2514,45.041,2,2,0,0,0,0,0,0,1,1,2,0,0,0,0,0,18,5.733667477,0,0,6.410095306,0,0,4.794537184,0,0,0,0,0,0,0,4.794537184,6.410095306,0,0,5.733667477,0,0,0,0,0,5.733667477,0,0,0,6.410095306,4.794537184,0,0,0,0,0,0,43.09,0,0,8.583333333,0,4.166666667,0,0,0.25,0,0,2.838589122,86.72905595,7.819990956,7.150888978,7.150888978,4.77005561,4.264784317,4.264784317,2.866228665,2.866228665,1.632392159,1.632392159,0.97749887,0.97749887,0,4.794537184,0,0,5.783244946,12.84164325,25.68328649,6.9237372,0,6.9237372,0,-0.33,10,124.098,9.67,6.785340254,7.67,10.47643857,0.300031023,10.47643857,0.12933995,0.330091175,0.12933995,0.330091175,-0.300031023,2.9359,44.057,142.242,0,1,0,0,0,0,0,0,1,0,1,0,6,0,0,0,60,4.794537184,5.783244946,0,0,0,0,0,0,0,0,32.60702369,13.34455882,6.420821623,0,4.794537184,5.783244946,0,0,0,52.37240414,0,0,0,0,0,0,0,0,5.783244946,4.794537184,0,52.37240414,0,0,0,0,17.07,0,0,10.47643857,0,0,0.330091175,0,6.994269652,3.865867268,0
Solv@TUM,C(=O)N,ZHNUHDYFZUAESO-UHFFFAOYSA-N,Organic acids and derivatives,CCCCCCCCO,KBPLFHHGFOOTCA-UHFFFAOYSA-N,Lipids and lipid-like molecules,-6.4939776,2.187496097,12.26466251,2.707106781,1.562948829,1.562948829,1.414213562,0.569035594,0.569035594,0.136082763,0.136082763,0,0,0,0,0,0,0,6.410095306,0,0,0,0,0,5.733667477,4.794537184,-0.53,3,42.017,2.47,1.47,1.47,8.583333333,0.37226357,8.583333333,0.204030793,0.25,0.204030793,0.25,-0.37226357,-0.8985,10.2514,45.041,2,2,0,0,0,0,0,0,1,1,2,0,0,0,0,0,18,5.733667477,0,0,6.410095306,0,0,4.794537184,0,0,0,0,0,0,0,4.794537184,6.410095306,0,0,5.733667477,0,0,0,0,0,5.733667477,0,0,0,6.410095306,4.794537184,0,0,0,0,0,0,43.09,0,0,8.583333333,0,4.166666667,0,0,0.25,0,0,2.595082707,37.83229392,6.949747468,6.396961064,6.396961064,4.414213562,4.023334547,4.023334547,2.491373751,2.491373751,1.511667274,1.511667274,0.892133485,0.892133485,0,0,0,0,6.606881965,6.420821623,32.10410811,0,0,6.9237372,5.106527395,-0.04,9,112.087,8.96,7.96,7.96,8.422781951,0.396376569,8.422781951,0.043052407,0.3671875,0.043052407,0.3671875,-0.396376569,2.3392,40.4618,130.231,1,1,0,0,0,0,0,0,1,1,1,0,6,0,0,0,56,5.106527395,0,0,0,0,0,0,0,0,0,39.02784531,6.420821623,6.606881965,0,5.106527395,0,0,0,0,45.44866694,6.606881965,0,0,0,0,0,0,0,11.71340936,0,0,45.44866694,0,0,0,0,20.23,0,0,0,8.422781951,0,0,0,7.495702239,2.58151581,0
