molecule_id,phase,solvent,file,checkpoint,old_checkpoint,route,model_chemistry,n_atoms,charge,multiplicity,nproc_shared,gaussian_mem,ended_normally,normal_termination_count,error_termination_count,optimization_completed,stationary_point_found,scf_energy_hartree,gibbs_free_energy_hartree,thermal_gibbs_correction_hartree,frequency_count,imaginary_frequency_count,minimum_frequency_cm1,temperature_k,pressure_atm,thermochemistry_warning,large_mo_coefficient_warning,polarization_charge_error,relaxed_pass,failure_reasons
caffeine,gas,,.ipynb_checkpoints/caffeine_gas_optfreq_SMD_protocol_M052X_631pGdp-checkpoint.log,caffeine_gas_M052X_631pGdp.chk,,"#p M052X/6-31+G(d,p) Opt Freq Int=UltraFine SCF=(XQC,Tight) NoSymm","M052X/6-31+G(d,p)",24,0,1,4,8GB,False,0,0,False,False,-680.334787135,,,0,0,,,,False,False,,False,no final normal termination; optimization incomplete; stationary point not confirmed; missing thermal Gibbs free energy; missing frequencies
caffeine,solution,Water,.ipynb_checkpoints/caffeine_water_optfreq_SMD_M052X_631pGdp-checkpoint.log,caffeine_water_smd_M052X_631pGdp.chk,,"#p M052X/6-31+G(d,p) Opt Freq SCRF=(SMD,Solvent=Water) Int=UltraFine S CF=(XQC,Tight) NoSymm","M052X/6-31+G(d,p)",24,0,1,16,16GB,False,0,0,False,False,-680.296534491,,,0,0,,,,False,False,0.04983,False,no final normal termination; optimization incomplete; stationary point not confirmed; missing thermal Gibbs free energy; missing frequencies
acetophenone,gas,,acetophenone/acetophenone_gas_optfreq_M052X_631pGdp.log,acetophenone_gas_M052X_631pGdp.chk,,"#p M052X/6-31+G(d,p) Opt=(CalcFC,MaxCycles=100) Freq Int=UltraFine SCF =(XQC,Tight) NoSymm","M052X/6-31+G(d,p)",17,0,1,4,8GB,False,0,2,False,False,-384.866926418,,,0,0,,,,False,True,,False,no final normal termination; Gaussian error termination; optimization incomplete; stationary point not confirmed; missing thermal Gibbs free energy; missing frequencies
acetophenone,gas,,acetophenone/acetophenone_gas_retry_from_failed.log,acetophenone_gas_retry_M052X_631pGdp.chk,acetophenone_gas_M052X_631pGdp.chk,"#p M052X/6-31+G(d,p) Opt=(CalcFC,MaxCycles=200) Freq Int=UltraFine SCF =(XQC,Tight) NoSymm Geom=Checkpoint Guess=Read","M052X/6-31+G(d,p)",17,0,1,4,8GB,True,2,0,True,True,-384.869661504,-384.761997,0.107665,45,0,59.2282,298.150,1.00000,True,True,,True,
acetophenone,solution,Water,acetophenone/acetophenone_water_from_retry_optfreq_SMD_M052X_631pGdp.log,acetophenone_water_smd_from_retry_M052X_631pGdp.chk,acetophenone_gas_retry_M052X_631pGdp.chk,"#p M052X/6-31+G(d,p) Opt=(CalcFC,MaxCycles=100) Freq SCRF=(SMD,Solvent =Water) Int=UltraFine SCF=(XQC,Tight) NoSymm Geom=Checkpoint Guess=Rea d","M052X/6-31+G(d,p)",17,0,1,16,16GB,True,2,0,True,True,-384.879690989,-384.772382,0.107309,45,0,52.8881,298.150,1.00000,True,True,0.04946,True,
alpha_methylstyrene,gas,,alpha_methylstyrene/alpha_methylstyrene_gas_optfreq_M052X_631pGdp.log,alpha_methylstyrene_gas_M052X_631pGdp.chk,,"#p M052X/6-31+G(d,p) Opt=(CalcFC,MaxCycles=100) Freq Int=UltraFine SCF =(XQC,Tight) NoSymm","M052X/6-31+G(d,p)",19,0,1,4,8GB,True,2,0,True,True,-348.941780710,-348.810286,0.131495,51,0,55.1034,298.150,1.00000,True,True,,True,
alpha_methylstyrene,solution,Water,alpha_methylstyrene/alpha_methylstyrene_water_optfreq_SMD_M052X_631pGdp.log,alpha_methylstyrene_water_smd_M052X_631pGdp.chk,alpha_methylstyrene_gas_M052X_631pGdp.chk,"#p M052X/6-31+G(d,p) Opt=(CalcFC,MaxCycles=100) Freq SCRF=(SMD,Solvent =Water) Int=UltraFine SCF=(XQC,Tight) NoSymm Geom=Checkpoint Guess=Rea d","M052X/6-31+G(d,p)",19,0,1,16,16GB,True,2,0,True,True,-348.944544281,-348.813336,0.131209,51,0,49.6474,298.150,1.00000,True,True,0.05246,True,
aniline,gas,,aniline/.ipynb_checkpoints/aniline_gas_optfreq_M052X_631pGdp-checkpoint.log,aniline_gas_M052X_631pGdp.chk,,"#p M052X/6-31+G(d,p) Opt=(CalcFC,MaxCycles=100) Freq Int=UltraFine SCF =(XQC,Tight) NoSymm","M052X/6-31+G(d,p)",14,0,1,4,8GB,True,2,0,True,True,-287.589760691,-287.499895,0.089866,36,0,224.0506,298.150,1.00000,True,True,,True,
aniline,gas,,aniline/aniline_gas_optfreq_M052X_631pGdp.log,aniline_gas_M052X_631pGdp.chk,,"#p M052X/6-31+G(d,p) Opt=(CalcFC,MaxCycles=100) Freq Int=UltraFine SCF =(XQC,Tight) NoSymm","M052X/6-31+G(d,p)",14,0,1,4,8GB,True,2,0,True,True,-287.589760691,-287.499895,0.089866,36,0,224.0506,298.150,1.00000,True,True,,True,
aniline,solution,Water,aniline/aniline_water_optfreq_SMD_M052X_631pGdp.log,aniline_water_smd_M052X_631pGdp.chk,aniline_gas_M052X_631pGdp.chk,"#p M052X/6-31+G(d,p) Opt=(CalcFC,MaxCycles=100) Freq SCRF=(SMD,Solvent =Water) Int=UltraFine SCF=(XQC,Tight) NoSymm Geom=Checkpoint Guess=Rea d","M052X/6-31+G(d,p)",14,0,1,16,16GB,True,2,0,True,True,-287.600162792,-287.510420,0.089743,36,0,223.9251,298.150,1.00000,True,True,0.04267,True,
