molecule_id,status,solvent,model_chemistry,charge,multiplicity,gas_log,solution_log,gas_gibbs_hartree,solution_gibbs_hartree,dft_delta_g_kcal_mol,gas_imaginary_frequencies,solution_imaginary_frequencies,gas_min_frequency_cm1,solution_min_frequency_cm1,gas_thermochemistry_warning,solution_thermochemistry_warning,notes
acetophenone,PASS,Water,"M052X/6-31+G(d,p)",0,1,acetophenone/acetophenone_gas_retry_from_failed.log,acetophenone/acetophenone_water_from_retry_optfreq_SMD_M052X_631pGdp.log,-384.761997,-384.772382,-6.516686,0,0,59.2282,52.8881,True,True,
alpha_methylstyrene,PASS,Water,"M052X/6-31+G(d,p)",0,1,alpha_methylstyrene/alpha_methylstyrene_gas_optfreq_M052X_631pGdp.log,alpha_methylstyrene/alpha_methylstyrene_water_optfreq_SMD_M052X_631pGdp.log,-348.810286,-348.813336,-1.913904,0,0,55.1034,49.6474,True,True,
aniline,PASS,Water,"M052X/6-31+G(d,p)",0,1,aniline/.ipynb_checkpoints/aniline_gas_optfreq_M052X_631pGdp-checkpoint.log,aniline/aniline_water_optfreq_SMD_M052X_631pGdp.log,-287.499895,-287.510420,-6.604537,0,0,224.0506,223.9251,True,True,
anisole,PASS,Water,"M052X/6-31+G(d,p)",0,1,anisole/anisole_gas_optfreq_M052X_631pGdp.log,anisole/anisole_water_optfreq_SMD_M052X_631pGdp.log,-346.642835,-346.648714,-3.689128,0,0,89.6618,90.6725,True,True,
benzaldehyde,PASS,Water,"M052X/6-31+G(d,p)",0,1,benzaldehyde/benzaldehyde_gas_optfreq_M052X_631pGdp.log,benzaldehyde/benzaldehyde_water_optfreq_SMD_M052X_631pGdp.log,-345.468352,-345.477611,-5.810110,0,0,119.7011,110.0602,True,True,
benzamide,PASS,Water,"M052X/6-31+G(d,p)",0,1,benzamide/benzamide_gas_optfreq_M052X_631pGdp.log,benzamide/benzamide_water_optfreq_SMD_M052X_631pGdp.log,-400.835165,-400.854393,-12.065752,0,0,66.3533,74.5794,True,True,
benzene,PASS,Water,"M052X/6-31+G(d,p)",0,1,benzene/benzene_gas_optfreq_M052X_631pGdp.log,benzene/benzene_water_optfreq_SMD_M052X_631pGdp.log,-232.158620,-232.161110,-1.562499,0,0,413.5731,411.3179,True,True,
benzonitrile,PASS,Water,"M052X/6-31+G(d,p)",0,1,benzonitrile/benzonitrile_gas_optfreq_M052X_631pGdp.log,benzonitrile/benzonitrile_water_optfreq_SMD_M052X_631pGdp.log,-324.401911,-324.408853,-4.356171,0,0,147.7194,145.8409,True,True,
benzyl_alcohol,PASS,Water,"M052X/6-31+G(d,p)",0,1,benzyl_alcohol/benzyl_alcohol_gas_optfreq_M052X_631pGdp.log,benzyl_alcohol/benzyl_alcohol_water_optfreq_SMD_M052X_631pGdp.log,-346.652554,-346.664125,-7.260912,0,0,45.8513,56.6763,True,True,
benzyl_bromide,PASS,Water,"M052X/6-31+G(d,p)",0,1,benzyl_bromide/benzyl_bromide_gas_optfreq_M052X_631pGdp.log,benzyl_bromide/benzyl_bromide_water_optfreq_SMD_M052X_631pGdp.log,-2842.564216,-2842.570068,-3.672185,0,0,104.2742,110.9890,True,True,
